,Date,Open*,High,Low,Close**,Volume,Market Cap
490,"Jul 05, 2017",2602.87,2622.65,2538.55,2601.99,941566016,42751085999
491,"Jul 04, 2017",2561.0,2631.59,2559.35,2601.64,985516032,42740618673
492,"Jul 03, 2017",2498.56,2595.0,2480.47,2564.06,964112000,42118211083
493,"Jul 02, 2017",2436.4,2514.28,2394.84,2506.47,803747008,41167015221
494,"Jul 01, 2017",2492.6,2515.27,2419.23,2434.55,779913984,39980058373
495,"Jun 30, 2017",2539.24,2559.25,2478.43,2480.84,860273024,40735082695
496,"Jun 29, 2017",2567.56,2588.83,2510.48,2539.32,949979008,41690395783
497,"Jun 28, 2017",2553.03,2603.98,2484.42,2574.79,1183869952,42268942193
498,"Jun 27, 2017",2478.45,2552.45,2332.99,2552.45,1489789952,41897190525
499,"Jun 26, 2017",2590.57,2615.25,2376.29,2478.45,1663280000,40677994354
500,"Jun 25, 2017",2607.25,2682.26,2552.12,2589.41,1161100032,42495001716
501,"Jun 24, 2017",2738.52,2757.94,2583.19,2608.72,982750016,42807952581
502,"Jun 23, 2017",2707.34,2765.17,2706.37,2744.91,961318976,45037797053
503,"Jun 22, 2017",2691.03,2723.74,2642.36,2705.41,1097939968,44384244937
504,"Jun 21, 2017",2709.43,2772.01,2660.4,2689.1,1626579968,44111929173
505,"Jun 20, 2017",2591.26,2763.45,2589.82,2721.79,1854189952,44643512689
506,"Jun 19, 2017",2549.03,2662.85,2549.03,2589.6,1446840064,42470734800
507,"Jun 18, 2017",2655.35,2662.1,2516.33,2548.29,1178659968,41788418974
508,"Jun 17, 2017",2514.01,2685.19,2484.96,2655.88,1534509952,43548031452
509,"Jun 16, 2017",2469.57,2539.92,2385.15,2518.56,1195190016,41291821423
510,"Jun 15, 2017",2499.58,2534.71,2212.96,2464.58,2026259968,40402259202
511,"Jun 14, 2017",2716.88,2786.83,2412.94,2506.37,1696560000,41082567339
512,"Jun 13, 2017",2680.91,2789.04,2650.38,2717.02,1781200000,44530631894
513,"Jun 12, 2017",2953.22,2997.26,2518.56,2659.63,2569530112,43585351533
514,"Jun 11, 2017",2942.41,2996.6,2840.53,2958.11,1752400000,48471330146
515,"Jun 10, 2017",2828.14,2950.99,2746.55,2947.71,2018889984,48295501718
516,"Jun 09, 2017",2807.44,2901.71,2795.62,2823.81,1348950016,46260465854
517,"Jun 08, 2017",2720.49,2815.3,2670.95,2805.62,1281170048,45957247989
518,"Jun 07, 2017",2869.38,2869.38,2700.56,2732.16,1517709952,44748237218
519,"Jun 06, 2017",2690.84,2999.91,2690.84,2863.2,2089609984,46888622160
520,"Jun 05, 2017",2512.4,2686.81,2510.22,2686.81,1369309952,43994968834
521,"Jun 04, 2017",2547.79,2585.89,2452.54,2511.81,1355120000,41124262595
522,"Jun 03, 2017",2493.72,2581.91,2423.57,2515.35,1514950016,41177190057
523,"Jun 02, 2017",2404.03,2488.55,2373.32,2488.55,1317030016,40732491835
524,"Jun 01, 2017",2288.33,2448.39,2288.33,2407.88,1653180032,39407633763
525,"May 31, 2017",2187.19,2311.08,2145.57,2286.41,1544829952,37414813240
526,"May 30, 2017",2255.36,2301.96,2124.57,2175.47,1443970048,35594903085
527,"May 29, 2017",2159.43,2307.05,2107.17,2255.61,994625024,36901102917
528,"May 28, 2017",2054.08,2267.34,2054.08,2155.8,1147139968,35264171110
529,"May 27, 2017",2196.27,2260.2,1855.83,2038.87,1700480000,33347170525
530,"May 26, 2017",2320.89,2573.79,2071.99,2202.42,1763480064,36017660894
531,"May 25, 2017",2446.24,2763.71,2285.3,2304.98,2406700032,37690456715
532,"May 24, 2017",2321.37,2523.72,2321.37,2443.64,1725379968,39952841999
533,"May 23, 2017",2191.56,2320.82,2178.5,2320.42,1378749952,37933704066
534,"May 22, 2017",2043.19,2303.9,2017.87,2173.4,1942220032,35525744380
535,"May 21, 2017",2067.03,2119.08,2037.5,2041.2,1147859968,33361091114
536,"May 20, 2017",1984.24,2084.73,1974.92,2084.73,961336000,34068630559
537,"May 19, 2017",1897.37,2004.52,1890.25,1987.71,1157289984,32479082015
538,"May 18, 2017",1818.7,1904.48,1807.12,1888.65,894321024,30856574835
539,"May 17, 2017",1726.73,1864.05,1661.91,1839.09,1064729984,30043626195
540,"May 16, 2017",1741.7,1785.94,1686.54,1734.45,959044992,28330874003
541,"May 15, 2017",1808.44,1812.8,1708.54,1738.43,731529024,28392885375
542,"May 14, 2017",1800.86,1831.42,1776.62,1808.91,437196000,29540290794
543,"May 13, 2017",1723.12,1812.99,1651.08,1804.91,579635008,29471223857
544,"May 12, 2017",1845.76,1856.15,1694.01,1724.24,740984000,28150631936
545,"May 11, 2017",1780.37,1873.93,1755.35,1848.57,799489984,30176934751
546,"May 10, 2017",1756.52,1788.44,1719.1,1787.13,915723008,29170965564
547,"May 09, 2017",1723.89,1833.49,1716.3,1755.36,1167920000,28649119972
548,"May 08, 2017",1596.92,1723.35,1596.92,1723.35,1340320000,28123369330
549,"May 07, 2017",1579.47,1596.72,1559.76,1596.71,1080029952,26053077975
550,"May 06, 2017",1556.81,1578.8,1542.5,1578.8,582529984,25757608890
551,"May 05, 2017",1540.87,1618.03,1530.31,1555.45,946035968,25373374563
552,"May 04, 2017",1490.72,1608.91,1490.72,1537.67,933548992,25080858487
553,"May 03, 2017",1453.78,1492.77,1447.49,1490.09,583795968,24301634925
554,"May 02, 2017",1421.03,1473.9,1415.69,1452.82,477337984,23691443738
555,"May 01, 2017",1348.3,1434.32,1348.3,1421.6,713624000,23179524919
556,"Apr 30, 2017",1321.87,1347.91,1314.92,1347.89,413115008,21975104909
557,"Apr 29, 2017",1317.84,1327.2,1315.21,1321.79,422705984,21547126640
558,"Apr 28, 2017",1317.74,1331.28,1292.37,1316.48,527488992,21457669552
559,"Apr 27, 2017",1281.88,1319.7,1281.3,1317.73,449196992,21475836448
560,"Apr 26, 2017",1265.99,1294.83,1265.93,1281.08,329631008,20876159410
561,"Apr 25, 2017",1250.45,1267.58,1249.97,1265.49,242556000,20619704237
562,"Apr 24, 2017",1209.63,1250.94,1209.63,1250.15,235806000,20367443800
563,"Apr 23, 2017",1231.92,1232.2,1203.94,1207.21,258951008,19665994145
